bookkeeping	category	child_dialect_count	child_family_count	child_language_count	description	family_pk	father_pk	hid	id	jsondata	latitude	level	longitude	macroareas	markup_description	name	newick	pk
FALSE	Spoken L1 Language	0	0	0				seo	suar1238	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/2687"", ""label"": ""Asaba""}, {""url"": ""https://www.wikidata.org/entity/Q7630513"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Suarmin_language"", ""label"": null}], ""meds"": [[""30504"", ""wordlist_or_less"", 1975, 1, ""Donald C. Laycock and John A. Z'Graggen 1975""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-4.95072	language	141.978	Papunesia		Asabano	'Asabano [suar1238][seo]-l-':1	166
FALSE	Spoken L1 Language	0	0	0				NOCODE_Atacame	atac1235	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q3058083"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Esmeralda_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_esm"", ""label"": ""Esmeralde\u00f1o""}], ""meds"": [[""44835"", ""wordlist_or_less"", 1892, 342, ""Teodoro Wolf 1892""]], ""ethnologue_comment"": {""isohid"": ""NOCODE_Atacame"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Atacame or Esmeralde\u00f1o, an extinct language of unknown affiliation spoken, when attested, by black people in Ecuador, is missing from E16/E17/E18/E19/E20/E21/E22/E23 (**hh:hw:Lehmann:Zentral-Amerika:I**, **hh:hld:Jijon:Ecuador**, **hh:ew:Wolf:Ecuador**, **hh:e:Franch:Esmeraldas**, **hh:w:Seler:Esmeraldas**).""}, ""iso_retirement"": null}"	0.834931	language	-79.778137	South America		Atacame	'Atacame [atac1235]-l-':1	162
FALSE	Spoken L1 Language	2	0	0				aqp	atak1252	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q10975683"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Atakapa_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_atk"", ""label"": ""Atakapa""}], ""meds"": [[""322954"", ""grammar_sketch"", 1981, 82, ""Jonel Macris Mueller 1981""], [""112215"", ""grammar_sketch"", 1929, 29, ""John R. Swanton 1929""], [""35871"", ""wordlist_or_less"", 1919, 20, ""de Villiers du Terrage and Paul Rivet 1919""], [""134101"", ""wordlist_or_less"", 1848, 4, ""Horatio Hale 1848""]], ""ethnologue_comment"": {""isohid"": ""aqp"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Atakapa, an extinct North American isolate, is missing from E17/E18/E19/E20/E21/E22/E23 (**hh:d:GatschetSwanton:Atakapa**, **hh:s:Singleton:Atakapa**, **hh:s:Swanton:Atakapa**, **hh:hvw:Hale:NWAmerica**, **hh:w:duTerrageRivet:Atakapa**, **hh:s:Mueller:Atakapa**).""}, ""iso_retirement"": null}"	30.9121	language	-93.0827	North America		Atakapa	"('Eastern Atakapa [east2802]':1,'Western Atakapa [west2881]':1)'Atakapa [atak1252][aqp]-l-':1"	417
FALSE	Spoken L1 Language	0	0	0				dba	bang1363	"{""links"": [{""url"": ""http://crubadan.org/languages/dba"", ""label"": null}, {""url"": ""http://endangeredlanguages.com/lang/8172"", ""label"": ""Bangime""}, {""url"": ""https://en.wikipedia.org/wiki/Bangime_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_bgm"", ""label"": ""Bangime""}, {""url"": ""https://www.wikidata.org/entity/Q1982696"", ""label"": null}], ""meds"": [[""320116"", ""long_grammar"", 2013, 550, ""Hantgan, Abbie 2013""], [""51581"", ""grammar_sketch"", 2006, 5, ""Elders, Stefan 2006""], [""135358"", ""wordlist_or_less"", 2004, 9, ""Hochstetler, J. Lee and Durieux, J. A. and Durieux-Boon, E. I. K. 2004""], [""70852"", ""wordlist_or_less"", 1953, 2, ""Bertho, J. 1953""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	14.8116	language	-3.77092	Africa		Bangime	'Bangime [bang1363][dba]-l-':1	30
FALSE	Spoken L1 Language	11	0	0				eus	basq1248	"{""links"": [{""url"": ""http://crubadan.org/languages/eu"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Basque_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/basq1248"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqb"", ""label"": ""Basque (Bidasoa Valley)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqg"", ""label"": ""Basque (Gernica)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqh"", ""label"": ""Basque (Hondarribia)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqi"", ""label"": ""Basque (Basaburua and Imoz)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bql"", ""label"": ""Basque (Lekeitio)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqn"", ""label"": ""Basque (Northern High Navarrese)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqo"", ""label"": ""Basque (O\u00f1ati)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqr"", ""label"": ""Basque (Roncalese)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqs"", ""label"": ""Basque (Sakana)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bqz"", ""label"": ""Basque (Zeberio)""}, {""url"": ""https://wals.info/languoid/lect/wals_code_bsq"", ""label"": ""Basque""}, {""url"": ""https://www.wikidata.org/entity/Q8752"", ""label"": null}], ""meds"": [[""304242"", ""long_grammar"", 2003, 976, ""Jos\u00e9 I. Hualde and Jon Ortiz de Urbina 2003""], [""126386"", ""long_grammar"", 1962, 483, ""Lafitte, Pierre 1962""], [""550216"", ""long_grammar"", 1729, 404, ""Manuel de Larramendi 1729""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	43.2787	language	-1.31622	Eurasia		Basque	"('Alavan [aval1237]':1,'Alto Navarro Meridional [alto1237]':1,'Alto Navarro Septentrional [alto1238]':1,'Basque/ Souletin [basq1250]':1,'Biscayan [bisc1236]':1,'Guipuzcoan [guip1235]':1,('Eastern Low Navarrese [east1470]':1,'Labourdin [labo1236]':1,'Western Low Navarrese [west1508]':1)'Navarro-Labourdin Basque [basq1249][bqe]':1,'Roncalese [ronc1236]':1)'Basque [basq1248][eus]-l-':1"	291
FALSE	Spoken L1 Language	0	0	0				bue	beot1247	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q56234"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Beothuk_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_beo"", ""label"": ""Beothuk""}], ""meds"": [[""310652"", ""wordlist_or_less"", 1915, 184, ""Howley, James Patrick 1915""], [""18134"", ""wordlist_or_less"", 1885, 55, ""Albert S. Gatschet 1885, 1886, 1890""], [""92245"", ""wordlist_or_less"", 1876, 9, ""T. G. B. Lloyd 1876""]], ""ethnologue_comment"": {""isohid"": ""bue"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Beothuk, an extinct North American isolate, is missing from E16/E17/E18/E19/E20/E21/E22/E23 (**hh:w:Hewson:Beothuk**).""}, ""iso_retirement"": null}"	48	language	-57	North America		Beothuk	'Beothuk [beot1247][bue]-l-':1	78
FALSE	Spoken L1 Language	7	0	0				wti	bert1248	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q33178"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Berta_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/bert1248"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_ber"", ""label"": ""Berta""}], ""meds"": [[""71474"", ""grammar_sketch"", 2007, 123, ""Benishangul-Gumuz Language Development Project and SIL Ethiopia 2007""], [""66076"", ""grammar_sketch"", 1976, 23, ""Triulzi, Alessandro and Atieb Dafallah and Marvin Lionel Bender 1976""], [""92497"", ""grammar_sketch"", 1947, 5, ""Cerulli, Enrico 1947""], [""47251"", ""grammar_sketch"", 1900, 3, ""Koettlitz, Reginald 1900""], [""133260"", ""phonology_or_text"", 1844, 0, ""Tutschek, Karl 1844/1946""], [""133459"", ""wordlist_or_less"", 1826, 0, ""Caillaud, F. 1826""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	10.6474	language	34.7042	Africa		Berta	"('Bake [bake1241]':1,'Dabuso [dabu1241]':1,'Fadashi [fada1248]':1,'Gobato [goba1245]':1,'Mayu [mayu1240]':1,'Shuru [shur1242]':1,'Undu [undu1236]':1)'Berta [bert1248][wti]-l-':1"	357
FALSE	Spoken L1 Language	9	0	0				NOCODE_Betoi	beto1236	"{""links"": [{""url"": ""https://www.wikidata.org/entity/Q926551"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Betoi_language"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_bti"", ""label"": ""Betoi""}], ""meds"": [[""106816"", ""grammar_sketch"", 2003, 64, ""Raoul Zamponi 2003""], [""57408"", ""grammar_sketch"", 2002, 26, ""Raoul Zamponi 2002""], [""129726"", ""grammar_sketch"", 1799, 16, ""Herv\u00e1s y Panduro, Lorenzo 1971 [1799]""], [""113070"", ""wordlist_or_less"", 1787, 4, ""Lorenzo Hervas 1787""]], ""ethnologue_comment"": {""isohid"": ""NOCODE_Betoi"", ""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""Betoi-Jirara, an extinct language of present-day Venezuela, is missing from E16/E17/E18/E19/E20/E21/E22/E23 (**hh:s:Hervas:Betoi**, **hh:s:Zamponi:Betoi**).""}, ""iso_retirement"": null}"	7.223906	language	-71.420238	South America		Betoi-Jirara	"(('Betoi [beto1237]':1,'Jirara [jira1248]':1,'Lolaca [lola1252]':1,'Mafilito [mafi1234]':1,'Quilifay [quil1257]':1)'Nuclear Betoi-Jirara [nucl1771]':1,('Ayrico [ayri1234]':1,'Situfa [situ1241]':1)'Situfa-Ayrico [situ1240]':1)'Betoi-Jirara [beto1236]-l-':1"	362
FALSE	Spoken L1 Language	0	0	0				blb	bilu1245	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/10808"", ""label"": ""Bilua""}, {""url"": ""https://www.wikidata.org/entity/Q35003"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Bilua_language"", ""label"": null}, {""url"": ""https://phoible.org/languages/bilu1245"", ""label"": null}, {""url"": ""https://wals.info/languoid/lect/wals_code_bil"", ""label"": ""Bilua""}], ""meds"": [[""64147"", ""long_grammar"", 2003, 354, ""Kazuko Obata 2003""], [""95794"", ""phonology_or_text"", 1960, 120, ""na ca. 1960""], [""64858"", ""phonology_or_text"", 1919, 52, ""R. C. Nicholson 1919""], [""41576"", ""wordlist_or_less"", 1903, 24, ""Carl Ribbe 1903""], [""11123"", ""wordlist_or_less"", 1890, 1, ""Otto Schellong 1890""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-7.92388	language	156.663	Papunesia		Bilua	'Bilua [bilu1245][blb]-l-':1	210
FALSE	Spoken L1 Language	0	0	0				boq	boga1247	"{""links"": [{""url"": ""http://endangeredlanguages.com/lang/10743"", ""label"": ""Bogaya""}, {""url"": ""https://www.wikidata.org/entity/Q7207578"", ""label"": null}, {""url"": ""https://en.wikipedia.org/wiki/Pogaya_language"", ""label"": null}], ""meds"": [[""477944"", ""wordlist_or_less"", 1979, 31, ""Daniel Shaw 1979""], [""77107"", ""wordlist_or_less"", 1973, 1, ""Karl J. Franklin 1973""], [""124652"", ""wordlist_or_less"", 1962, 2, ""D. J. Clancy 1962""]], ""ethnologue_comment"": null, ""iso_retirement"": null}"	-5.54487	language	142.255	Papunesia		Bogaya	'Bogaya [boga1247][boq]-l-':1	114
